STATEFIPS,STATE,ZIPCODE,AGI_STUB,N1,MARS1,MARS2,A00100
21,KY,41537,0,1380,450,680,54342
21,KY,41539,0,550,200,280,22784
21,KY,41540,0,140,30,80,5991
21,KY,41543,0,180,60,90,6364
21,KY,41544,0,270,70,140,9572
21,KY,41548,0,260,90,110,9268
21,KY,41553,0,700,220,360,28648
21,KY,41554,0,240,80,120,9271
21,KY,41555,0,230,80,110,8116
21,KY,41557,0,620,200,340,26015
21,KY,41558,0,200,70,100,7902
21,KY,41559,0,200,60,100,7298
21,KY,41560,0,210,70,110,8219
21,KY,41562,0,810,300,400,29645
21,KY,41563,0,110,30,50,3206
21,KY,41564,0,340,110,200,15319
21,KY,41566,0,120,30,60,4492
21,KY,41568,0,190,70,90,5572
21,KY,41571,0,190,80,90,7324
21,KY,41572,0,1140,390,600,46797
21,KY,41601,0,500,200,240,24726
21,KY,41602,0,270,100,140,11185
21,KY,41603,0,460,150,240,22806
21,KY,41604,0,130,40,70,4585
21,KY,41605,0,390,160,170,15195
21,KY,41606,0,160,40,80,5451
21,KY,41607,0,120,50,50,3877
21,KY,41615,0,190,60,110,8781
21,KY,41616,0,170,60,100,7219
21,KY,41622,0,160,60,70,6668
21,KY,41630,0,390,120,180,14001
21,KY,41631,0,240,60,130,8086
21,KY,41632,0,140,50,70,4914
21,KY,41635,0,980,350,450,39623
21,KY,41636,0,240,70,100,7284
21,KY,41640,0,370,120,180,14309
21,KY,41642,0,210,70,100,8843
21,KY,41645,0,380,130,160,15146
21,KY,41647,0,530,200,220,18582
21,KY,41649,0,940,350,380,35340
21,KY,41650,0,210,70,100,6168
21,KY,41653,0,4040,1630,1830,203651
21,KY,41655,0,250,70,110,7654
21,KY,41659,0,250,80,130,14193
21,KY,41660,0,230,70,90,6444
21,KY,41666,0,240,80,120,8407
21,KY,41667,0,130,40,60,3393
21,KY,41669,0,190,60,70,5372
21,KY,41701,0,4230,1650,1770,207971
21,KY,41712,0,130,50,60,4375
21,KY,41713,0,150,60,50,3963
21,KY,41714,0,130,30,70,5075
21,KY,41719,0,520,180,230,17890
21,KY,41721,0,210,80,90,7411
21,KY,41722,0,680,250,280,22189
21,KY,41723,0,340,110,160,10392
21,KY,41727,0,370,110,170,16907
21,KY,41731,0,350,110,210,14264
21,KY,41740,0,240,100,90,9519
21,KY,41746,0,210,80,90,8480
21,KY,41749,0,1280,440,580,53241
21,KY,41751,0,170,70,70,7248
21,KY,41754,0,150,50,80,5871
21,KY,41759,0,160,40,60,6357
21,KY,41763,0,170,50,90,6626
21,KY,41764,0,140,40,80,5954
21,KY,41773,0,450,140,190,15479
21,KY,41774,0,840,290,430,31895
21,KY,41776,0,570,170,270,22271
21,KY,41777,0,190,50,110,6925
21,KY,41804,0,290,80,160,12213
21,KY,41815,0,280,90,140,10132
21,KY,41817,0,160,50,70,5056
21,KY,41819,0,110,30,60,3884
21,KY,41821,0,140,50,70,5693
21,KY,41822,0,1050,380,490,50604
21,KY,41824,0,390,130,180,14669
21,KY,41825,0,130,40,60,4781
21,KY,41826,0,300,110,160,11300
21,KY,41828,0,220,90,90,7539
21,KY,41831,0,340,130,170,15221
21,KY,41832,0,110,40,50,4561
21,KY,41834,0,170,50,80,5526
21,KY,41835,0,230,70,110,7578
21,KY,41836,0,270,80,140,9193
21,KY,41837,0,350,100,170,14204
21,KY,41838,0,160,60,80,6380
21,KY,41839,0,240,90,100,7578
21,KY,41840,0,420,150,190,16545
21,KY,41843,0,250,80,110,8035
21,KY,41844,0,320,140,130,12429
21,KY,41845,0,110,30,50,3675
21,KY,41847,0,160,50,70,6150
21,KY,41855,0,190,50,90,6778
21,KY,41858,0,2390,800,1080,106892
21,KY,41862,0,260,80,110,9091
21,KY,42001,0,13130,5870,5250,896218
21,KY,42003,0,12420,5440,4740,560964
21,KY,42020,0,970,340,500,45467
21,KY,42021,0,630,270,290,29768
21,KY,42023,0,1010,400,450,47339
21,KY,42024,0,570,230,250,26021
21,KY,42025,0,8230,3180,4150,431233
21,KY,42027,0,960,360,490,49646
21,KY,42028,0,240,90,130,10804
21,KY,42029,0,2850,1170,1290,144185
21,KY,42031,0,1290,530,550,55700
21,KY,42035,0,440,140,260,30080
21,KY,42036,0,510,190,270,20170
21,KY,42038,0,1980,830,920,97790
21,KY,42039,0,710,310,350,31704
21,KY,42040,0,480,190,230,19521
21,KY,42041,0,1610,590,680,62916
21,KY,42044,0,1510,590,790,84122
21,KY,42045,0,950,400,430,43878
21,KY,42048,0,950,370,430,33142
21,KY,42049,0,640,260,310,27180
21,KY,42050,0,1040,380,380,39697
21,KY,42051,0,1230,430,650,59310
21,KY,42053,0,2150,770,1100,120661
21,KY,42054,0,440,160,220,20132
21,KY,42055,0,1120,500,510,55302
21,KY,42056,0,840,350,380,41395
